id,name,address,city,zip,county,website
2,"Alameda County Sheriff's Office",,,,,
50,"Amador County Sheriff's Office",,,,,
27,"Butte County Sheriff's Office",,,,,
51,"Calaveras County Sheriff's Office",,,,,
53,"Colusa County Sheriff's Department",,,,,
36,"Contra Costa County Office of the Sheriff",,,,,
41,"Del Norte County Sheriff's Office",,,,,
23,"El Dorado County Sheriff's Office",,,,,
17,"Fresno County Sheriff's Office",,,,,
15,"Glenn County Sheriff's Office",,,,,
7,"Humboldt County Sheriff's Office",,,,,
48,"Imperial County Sheriff's Office",,,,,
11,"Inyo County Sheriff's Office",,,,,
19,"Kern County Sheriff's Office",,,,,
34,"Kings County Sheriff's Office",,,,,
26,"Lake County Sheriff's Office",,,,,
46,"Lassen County Sheriff's Office",,,,,
1,"Los Angeles County Sheriff's Department",,,,,
21,"Madera County Department of Corrections",,,,,
45,"Marin County Sheriff's Office",,,,,
43,"Mariposa County Sheriff's Office",,,,,
38,"Mendocino County Sheriff's Office",,,,,
52,"Modoc County Sheriff's Office",,,,,
54,"Mono County Sheriff's Office",,,,,
4,"Monterey County Sheriff's Office",,,,,
37,"Napa County Department of Corrections",,,,,
42,"Nevada County Sheriff's Office",,,,,
55,"No agency",,,,,
12,"Orange County Sheriff's Department",,,,,
6,"Placer County Sheriff's Office",,,,,
47,"Plumas County Sheriff's Office",,,,,
13,"Riverside County Sheriff's Department",,,,,
39,"San Benito Sheriff's Office",,,,,
5,"San Bernardino County Sheriff's Department",,,,,
3,"San Diego County Sheriff's Department",,,,,
8,"San Francisco Sheriff's Department",,,,,
28,"San Joaquin County Sheriff's Office",,,,,
22,"San Luis Obispo County Sheriff's Office",,,,,
29,"San Mateo County Sheriff's Office",,,,,
16,"Santa Barbara County Sheriff's Office",,,,,
18,"Santa Clara Sheriff's Office",,,,,
32,"Santa Cruz County Sheriff's Office",,,,,
10,"Shasta County Sheriff's Office",,,,,
56,"Sierra County Sheriff's Office",,,,,
49,"Siskiyou County Sheriff's Office",,,,,
25,"Solano County Sheriff's Office",,,,,
14,"Sonoma County Sheriff's Office",,,,,
9,"Stanislaus County Sheriff's Department",,,,,
24,"Sutter County Sheriff's Office",,,,,
44,"Tehama County Sheriff's Office",,,,,
31,"Trinity County Sheriff's Office",,,,,
30,"Tulare County Sheriff's Office",,,,,
35,"Tuolumne County Sheriff's Office",,,,,
20,"Ventura County Sheriff's Office",,,,,
33,"Yolo County Sheriff's Office",,,,,
40,"Yuba County Sheriff's Department",,,,,
